"קוד עיר","שם עיר","קוד רחוב","שם רחוב"
"28","מזכרת בתיה","260","אשבל חיה"
"28","מזכרת בתיה","261","חסיה המיילדת"
"28","מזכרת בתיה","262","אלול רינה"
"28","מזכרת בתיה","263","גולדברג לאה"
"28","מזכרת בתיה","264","רביקוביץ דליה"
"28","מזכרת בתיה","266","אתר תרצה"
"28","מזכרת בתיה","267","ילין תלמה"
"28","מזכרת בתיה","269","רובינא חנה"
"28","מזכרת בתיה","270","קדמן גורית"
"28","מזכרת בתיה","271","בארון דבורה"
"28","מזכרת בתיה","272","וולך יונה"
"28","מזכרת בתיה","274","רחל המשוררת"
"28","מזכרת בתיה","275","טיכו אנה"
"28","מזכרת בתיה","276","לוי תנאי שרה"
"28","מזכרת בתיה","129","בית און"
"28","מזכרת בתיה","199","מבצע יכין"
"28","מזכרת בתיה","206","דרך היין"
"28","מזכרת בתיה","207","שביל התפוזים"
"28","מזכרת בתיה","208","כפות תמרים"
"28","מזכרת בתיה","220","הבציר"
"28","מזכרת בתיה","221","האסיף"
"28","מזכרת בתיה","222","הקציר"
"28","מזכרת בתיה","223","הקטיף"
"28","מזכרת בתיה","224","המסיק"
"28","מזכרת בתיה","107551","בבילה אליהו"
"28","מזכרת בתיה","1","ארז"
"28","מזכרת בתיה","2","האורן"
"28","מזכרת בתיה","3","האשל"
"28","מזכרת בתיה","51","חיים לוי"
"28","מזכרת בתיה","100076","יואב שחם"
"28","מזכרת בתיה","100077","לא פעיל"
"28","מזכרת בתיה","53","נווה בן גוריון"
"28","מזכרת בתיה","55","משה שרת"
"28","מזכרת בתיה","7","אליעזר ארקין"
"28","מזכרת בתיה","9","הזית"
"28","מזכרת בתיה","11","המגן"
"28","מזכרת בתיה","104994","ציפורה"
"28","מזכרת בתיה","100165","שדרות מוטה גור"
"28","מזכרת בתיה","100225","חנה סנש"
"28","מזכרת בתיה","104574","בתיה גור"
"28","מזכרת בתיה","104132","גולדה מאיר"
"28","מזכרת בתיה","103430","רחל בנודיז"
"28","מזכרת בתיה","104638","בבה אידלסון"
"28","מזכרת בתיה","103544","לאה גולדברג"
"28","מזכרת בתיה","102959","נעמי שמר"
"28","מזכרת בתיה","103229","מרתה גראהם"
"28","מזכרת בתיה","103595","דב אלוני"
"28","מזכרת בתיה","103596","חיה אשבל"
"28","מזכרת בתיה","103258","שדרות רפאל סויסה"
"28","מזכרת בתיה","103618","שושנה דמארי"
"28","מזכרת בתיה","104239","תלמה ילין"
"28","מזכרת בתיה","103408","הדסה שווילי"
"29","יסוד המעלה","9","הגולן"
"29","יסוד המעלה","16","מלון איטאף"
"29","יסוד המעלה","11","הרימונים"
"29","יסוד המעלה","15","ללא רחוב"
"29","יסוד המעלה","12","הורדים"
"29","יסוד המעלה","13","חקלאי"
"29","יסוד המעלה","17","המזח"
"29","יסוד המעלה","4","המושבה"
"29","יסוד המעלה","5","המייסדים"
"29","יסוד המעלה","6","הראשונים"
"29","יסוד המעלה","7","השקד"
"29","יסוד המעלה","8","מגדל המים"
"29","יסוד המעלה","14","השמורה"
"29","יסוד המעלה","1","האגם"
"29","יסוד המעלה","2","האלונים"
"29","יסוד המעלה","3","הזית"
"29","יסוד המעלה","10","הגפן"
"31","אופקים","118","יהוצדק"
"31","אופקים","119","יהונתן"
"31","אופקים","164","קרית חינוך מרחבים"
"31","אופקים","128","גלעד"
"31","אופקים","129","עמשא"
"31","אופקים","4","שד` הרצל"
"31","אופקים","11","קיבוץ גלויות"
"31","אופקים","12","מש` הגפן"
"31","אופקים","13","גולומב"
"31","אופקים","163","יהושוע בן בארי"
"31","אופקים","14","יהודה הלוי"
"31","אופקים","15","פלמ""ח"
"31","אופקים","16","כצנלסון"
"31","אופקים","17","גיבורי ישראל"
"31","אופקים","18","צה""ל"
"31","אופקים","19","הרצוג"
"31","אופקים","20","שרת"
"31","אופקים","5","אלי כהן"
"31","אופקים","6","בן גוריון"
"31","אופקים","7","פטיו"
"31","אופקים","8","קדש"
"31","אופקים","9","עוזיאל"
"31","אופקים","10","קוק"
"31","אופקים","22","הנשיא"
"31","אופקים","155","המסגר"
"31","אופקים","156","המלאכה"
"31","אופקים","157","הפלדה"
"31","אופקים","158","נחושתן"
"31","אופקים","159","התאנה"
"31","אופקים","87","חנניה"
"31","אופקים","88","יעקב הכהן"
"31","אופקים","105","יונה"
"31","אופקים","106","דניאל"
"31","אופקים","107","התבור"
"31","אופקים","108","דבורה הנביאה"
"31","אופקים","109","אלישע"
"31","אופקים","110","קרית ספר"
"31","אופקים","111","אסתר המלכה"
"31","אופקים","112","עמוס"
"31","אופקים","113","ירושלים"
"31","אופקים","114","גדעון"
"31","אופקים","99","שמשון"
"31","אופקים","100","ברק"
"31","אופקים","101","יפתח"
"31","אופקים","102","שלמה המלך"
"31","אופקים","103","גלגל"
"31","אופקים","104","חורב"
"31","אופקים","121","הכרמל"
"31","אופקים","122","בניהו"
"31","אופקים","123","דוד המלך"
"31","אופקים","124","השילוח"
"31","אופקים","125","עוזיהו"
"31","אופקים","126","עין גדי"
"31","אופקים","127","צדקיהו"
"31","אופקים","21","שפירא"
"31","אופקים","32","הנביאים"
"31","אופקים","33","ירמיהו"
"31","אופקים","34","אור החיים"
"31","אופקים","41","החיד""א"
"31","אופקים","42","האר""י"
"31","אופקים","43","הטייסים"
"31","אופקים","73","החרוב"
"31","אופקים","74","בן איש חי"
"31","אופקים","75","יגאל אלון"
"31","אופקים","76","הרב עמרם בן דיווא"
"31","אופקים","77","האודם"
"31","אופקים","78","ברקת"
"31","אופקים","79","מש` הנרקיס"
"31","אופקים","80","מש` האיריס"
"31","אופקים","81","משה מסיקה"
"31","אופקים","82","הדיקלה"
"31","אופקים","67","הדר"
"31","אופקים","68","התירוש"
"31","אופקים","69","היוגב"
"31","אופקים","70","הבציר"
"31","אופקים","71","הזמורה"
"31","אופקים","72","ההדס"
"31","אופקים","89","הגורן"
"31","אופקים","90","הכרמים"
"31","אופקים","91","ארבעת המינים"
"31","אופקים","92","הזית"
"31","אופקים","93","העינב"
"31","אופקים","94","יצהר"
"31","אופקים","95","בן שמן"
"31","אופקים","96","האורן"
"31","אופקים","97","הערבה"
"31","אופקים","98","זכריה"
"31","אופקים","83","הכנסת הגדולה"
"31","אופקים","84","חגי"
"31","אופקים","85","שמואל הרואה"
"31","אופקים","86","אליהו התשבי"
"31","אופקים","104948","ליבנה"
"31","אופקים","104989","סתוונית"
"31","אופקים","105013","כליל החורש"
"31","אופקים","105038","צאלון"
"31","אופקים","104571","צפצפה"
"31","אופקים","104645","חנית קיקוס"
"31","אופקים","103607","חטיבת עציוני"
"31","אופקים","104806","הרב יעקב הורוביץ"
"31","אופקים","103960","חטיבת גולני"
"31","אופקים","103790","דובדבן"
"31","אופקים","104602","האלה"
"31","אופקים","104564","מבצע נחשון"
"31","אופקים","104173","הרב עובדיה יוסף"
"31","אופקים","104011","האשל"
"31","אופקים","104208","שושן"
"31","אופקים","161","רחבת אדר"
"31","אופקים","162","הושע בן בארי"
"31","אופקים","29","חזון איש"
"31","אופקים","30","שבזי"
"31","אופקים","31","הלל"
"31","אופקים","1","בנה ביתך"
"31","אופקים","2","הורד"
"31","אופקים","3","הריף"
"31","אופקים","165","צהלה"
"31","אופקים","23","חיים חורי"
"31","אופקים","24","יוני"
"31","אופקים","25","הרמב""ם"
"31","אופקים","26","קרן היסוד"
"31","אופקים","27","חפץ חיים"
"31","אופקים","28","אלנקווה"
"31","אופקים","130","אבנר בן נר"
"31","אופקים","115","יהושע בן נון"
"31","אופקים","116","יהושפט"
"31","אופקים","117","יואב"
"31","אופקים","362","אקליפטוס"
"31","אופקים","364","אשחר"
"31","אופקים","365","אתרוג"
"31","אופקים","440","בארי"
"31","אופקים","224","ברזילי"
"31","אופקים","367","ברקן"
"31","אופקים","368","בשמת"
"31","אופקים","105421","תלתן"
"31","אופקים","105550","מבצע משה"
"31","אופקים","227","מבצע חורב"
"31","אופקים","210","אביבית"
"31","אופקים","214","מבצע דקל"
"31","אופקים","225","מבצע הראל"
"31","אופקים","105240","דגנית"
"31","אופקים","105154","חטיבת אלכסנדרוני"
"31","אופקים","134","אסא"
"31","אופקים","135","מרדכי"
"31","אופקים","136","נחמיה"
"31","אופקים","150","עזרא"
"31","אופקים","151","ז`בוטינסקי"
"31","אופקים","152","הבנאים"
"31","אופקים","153","בצלאל"
"31","אופקים","154","היוצר"
"31","אופקים","120","ישי"
"31","אופקים","137","שאול המלך"
"31","אופקים","138","רש""י"
"31","אופקים","139","יוסף קארו"
"31","אופקים","140","רבי עקיבא"
"31","אופקים","141","חיים פינטו"
"31","אופקים","142","בוזגלו חיים"
"31","אופקים","143","יואל"
"31","אופקים","144","נתן הנביא"
"31","אופקים","145","עידו הנביא"
"31","אופקים","146","גד"
"31","אופקים","131","יחזקאל"
"31","אופקים","132","ישעיהו"
"31","אופקים","133","מלאכי"
"31","אופקים","44","קהילות יעקב"
"31","אופקים","45","יהדות דרום אפריקה"
"31","אופקים","46","עולי הגרדום"
"31","אופקים","47","טרומפלדור"
"31","אופקים","48","רזיאל דוד"
"31","אופקים","49","ההגנה"
"31","אופקים","50","אצ""ל"
"31","אופקים","35","לח""י"
"31","אופקים","36","ביל""ו"
"31","אופקים","37","מרבד הקסמים"
"31","אופקים","38","תרשיש"
"31","אופקים","39","שוהם"
"31","אופקים","40","יהלום"
"31","אופקים","51","ספיר"
"31","אופקים","60","טרומיקל"
"31","אופקים","61","דדו"
"31","אופקים","62","הרב אבו חצירא"
"31","אופקים","63","בית וגן"
"31","אופקים","64","הארזים"
"31","אופקים","65","צאלה"
"31","אופקים","66","השקד"
"31","אופקים","54","הכלנית"
"31","אופקים","55","הורדים"
"31","אופקים","56","החבצלת"
"31","אופקים","57","הסמדר"
"31","אופקים","58","היסמין"
"31","אופקים","59","האלון"
"31","אופקים","460","נחל צאלים"
"31","אופקים","459","נחל צין"
"31","אופקים","466","נחל רמון"
"31","אופקים","468","נחל שקמה"
"31","אופקים","438","נירים"
"31","אופקים","395","נירית"
"31","אופקים","396","סביון"
"31","אופקים","397","סחלב"
"31","אופקים","469","סיגלון"
"31","אופקים","398","סייפן"
"31","אופקים","400","עדעד"
"31","אופקים","401","עוזרד"
"31","אופקים","402","עירית"
"31","אופקים","448","עמרם ביתן"
"31","אופקים","403","פטל"
"31","אופקים","405","פעמונית"
"31","אופקים","408","צבעוני"
"31","אופקים","409","צבר"
"31","אופקים","410","ציפור גן עדן"
"31","אופקים","411","ציפורן"
"31","אופקים","437","קדמה"
"31","אופקים","105251","מבצע עובדה"
"31","אופקים","105289","החצב"
"31","אופקים","369","גומא"
"31","אופקים","372","גיבסנית"
"31","אופקים","436","גלאון"
"31","אופקים","373","דגן"
"31","אופקים","376","דולב"
"31","אופקים","414","דפנה"
"31","אופקים","377","דקל"
"31","אופקים","455","דקל הדום"
"31","אופקים","444","דרך הבשמים"
"31","אופקים","371","דרך ישרים"
"31","אופקים","238","דרך סיירת שקד"
"31","אופקים","218","הבורסקאי"
"31","אופקים","219","החרש"
"31","אופקים","221","היוזמה"
"31","אופקים","223","הכשרת הישוב"
"31","אופקים","433","הנגב"
"31","אופקים","217","הנפח"
"31","אופקים","237","העצמאות"
"31","אופקים","450","הר חלמיש"
"31","אופקים","452","הר יעלון"
"31","אופקים","454","הר כרכום"
"31","אופקים","453","הר רתמים"
"31","אופקים","451","הר שגיא"
"31","אופקים","443","הר חורשה"
"31","אופקים","147","הרימון"
"31","אופקים","148","החיטה"
"31","אופקים","149","התמר"
"31","אופקים","160","פרי מגדים"
"31","אופקים","52","מש` הרקפת"
"31","אופקים","53","מש` השקמה"
"31","אופקים","228","מבצע חירם"
"31","אופקים","229","מבצע יואב"
"31","אופקים","300","אגוז"
"31","אופקים","360","אדמונית"
"31","אופקים","439","אורים"
"31","אופקים","361","אטד"
"31","אופקים","105304","ברוש"
"31","אופקים","105345","השיטה"
"31","אופקים","105310","פיקוס"
"31","אופקים","380","אירוס"
"31","אופקים","222","אפיקים בנגב"
"31","אופקים","105164","חמניה"
"31","אופקים","105360","רוזמרין"
"31","אופקים","105344","חטיבת הנגב"
"31","אופקים","226","מבצע יפתח"
"31","אופקים","441","קהילת מטרו ווסט"
"31","אופקים","413","קורנית"
"31","אופקים","105595","קציר"
"31","אופקים","105596","רבי דוד דהן"
"31","אופקים","416","רותם"
"31","אופקים","357","רחבת אביר"
"31","אופקים","417","ריחן"
"31","אופקים","435","שד הציונות"
"31","אופקים","431","שובל"
"31","אופקים","420","שיבולים"
"31","אופקים","421","שיזף"
"31","אופקים","355","שילה"
"31","אופקים","216","תוצרת הארץ"
"31","אופקים","423","תורמוס"
"31","אופקים","424","תות"
"31","אופקים","434","תקומה"
"31","אופקים","105217","הרב פינקוס"
"31","אופקים","363","הרב אלעזר אבוחצירה"
"31","אופקים","406","הרב חיים קמיל"
"31","אופקים","445","הרב מרדכי חורי"
"31","אופקים","220","הרתך"
"31","אופקים","359","השוק"
"31","אופקים","446","ותיקי מלחה""ע השניה"
"31","אופקים","105588","אסיף"
"31","אופקים","232","חט גבעתי"
"31","אופקים","381","חלבלוב"
"31","אופקים","428","חצרים"
"31","אופקים","447","יהודה מרציאנו"
"31","אופקים","384","חרצית"
"31","אופקים","235","חט כרמלי"
"31","אופקים","385","יערה"
"31","אופקים","386","יקינטון"
"31","אופקים","429","כפר דרום"
"31","אופקים","105589","בית הקשיש"
"31","אופקים","105590","דרך אילת"
"31","אופקים","105591","הברכות"
"31","אופקים","105592","הזורע"
"31","אופקים","105593","החורש"
"31","אופקים","449","הרי אילת"
"31","אופקים","105594","התעשיה"
"31","אופקים","388","כרכום"
"31","אופקים","389","לוטוס"
"31","אופקים","390","לוטם"
"31","אופקים","392","לילך"
"31","אופקים","427","מורן"
"31","אופקים","212","מורן החורש"
"31","אופקים","442","מכתש רמון"
"31","אופקים","393","מרגנית"
"31","אופקים","394","מרווה"
"31","אופקים","430","משמר הנגב"
"31","אופקים","432","נבטים"
"31","אופקים","465","נחל אופקים"
"31","אופקים","463","נחל באר שבע"
"31","אופקים","461","נחל גרר"
"31","אופקים","462","נחל דוד"
"31","אופקים","467","נחל הבשור"
"31","אופקים","458","נחל כיסופים"
"31","אופקים","457","נחל נטפים"
"31","אופקים","456","נחל ערוגות"
"31","אופקים","464","נחל פטיש"
"32","עוצם","100830","ללא רחוב"
"33","בת שלמה","100292","ללא רחוב"
"35","גדות","101210","ללא רחוב"
"36","שדה דוד","100891","ללא רחוב"
"37","איתן","100727","ללא רחוב"
"38","כרי דשא","100598","ללא רחוב"
"39","גפן","101030","ללא רחוב"
"41","אליכין","22","האיריס"
"41","אליכין","40","הציפורן"
"41","אליכין","24","הסיפן"
"41","אליכין","25","הסלעים"
"41","אליכין","26","הסנונית"
"41","אליכין","27","הצופית"
"41","אליכין","28","השלדג"
"41","אליכין","29","הורד"
"41","אליכין","30","הנחניאלי"
"41","אליכין","31","העפרוני"
"41","אליכין","32","שקד"
"41","אליכין","34","הדרור"
"41","אליכין","33","בשמת"
"41","אליכין","1","האלון"
"41","אליכין","2","הגפן"
"41","אליכין","3","החוגלה"
"41","אליכין","4","החרצית"
"41","אליכין","5","היסמין"
"41","אליכין","6","הלילך"
"41","אליכין","7","הסלעית"
"41","אליכין","8","הפשוש"
"41","אליכין","9","הרימון"
"41","אליכין","10","הרקפת"
"41","אליכין","11","הרשש"
"41","אליכין","12","השחף"
"41","אליכין","13","התאנה"
"41","אליכין","14","התמר"
"41","אליכין","15","חבצלת השרון"
"41","אליכין","16","כנפי נשרים"
"41","אליכין","17","מרבד הקסמים"
"41","אליכין","18","שבזי"
"41","אליכין","19","האנפה"
"41","אליכין","20","הכלנית"
"41","אליכין","21","הנרקיס"
"41","אליכין","35","הסביון"
"41","אליכין","36","החוחית"
"41","אליכין","38","הזמיר"
"41","אליכין","37","הסחלב"
"41","אליכין","39","האיה"
"41","אליכין","23","הנורית"
"43","מטולה","24","חקורה"
"43","מטולה","33","מלון ארזים"
"43","מטולה","3","הגורן"
"43","מטולה","4","הדובדבן"
"43","מטולה","5","הזית"
"43","מטולה","6","החצבים"
"43","מטולה","7","החרמון"
"43","מטולה","8","הטחנה"
"43","מטולה","9","הלבנון"
"43","מטולה","10","המורג"
"43","מטולה","11","המעין"
"43","מטולה","12","הנדיב"
"43","מטולה","13","הנרקיס"
"43","מטולה","14","העיון"
"43","מטולה","15","הצבעונים"
"43","מטולה","16","הראשונים"
"43","מטולה","17","הרקפת"
"43","מטולה","18","התאנה"
"43","מטולה","19","מעלה דדו"
"43","מטולה","20","מעלה הצפייה"
"43","מטולה","21","מצפה החולה"
"43","מטולה","22","מצפה נפתלי"
"43","מטולה","23","נורית"
"43","מטולה","2","הארזים"
"43","מטולה","1","האירוס"
"43","מטולה","25","האשד"
"43","מטולה","30","ספא בבוסתאן"
"43","מטולה","26","הכלנית"
"43","מטולה","28","הגפן"
"43","מטולה","27","מלון בית שלום"
"43","מטולה","31","אלסקה אין"
"43","מטולה","32","בין עצי הדובדבן"
"43","מטולה","29","סמטת הבוסתן"
"43","מטולה","103759","המפל"
"44","זוהר","101277","ללא רחוב"
"46","יבנאל","4","בית גן"
"46","יבנאל","9","צימרים של ילוז"
"46","יבנאל","104984","חטיבת גולני"
"46","יבנאל","104621","דרך המושבות"
"46","יבנאל","103215","סמדר עילית"
"46","יבנאל","5","המייסדים"
"46","יבנאל","1","הגורן"
